total,mask
169.73006799162258,160.70939176856237
155.64024183130823,159.34340729748743
159.23678306385776,163.9003368297394
155.5508111647796,152.21692654097293
147.4034447351587,151.65631154890883
157.4133388007031,152.90606307801966
188.03605947596955,182.5703017547523
172.25519888210692,151.76544814949958
178.9391954666644,169.19198780488657
162.66031056147767,157.57008495544773
167.9100024678337,155.55782777934104
151.79496833213489,150.09639173940573
181.21971167216543,153.2501791137416
158.36697503959297,153.03923410741416
161.06050839831005,161.18444020612293
157.44985836767592,159.7412936217929
165.49476638410124,157.78634740307152
166.66005141385534,151.51995863235314
175.82154759802506,157.2980226670462
151.86964561062635,127.73180972621033
162.5710056570097,154.4067983275611
155.94710530916927,161.10585749241324
156.32510537299095,154.04786798896217
152.3290425039304,152.1141420643737
167.1864268698264,152.15132435291258
154.50417881929022,156.64448463513511
151.99882410437567,150.13089797781612
163.50055539995094,160.7272628254701
154.235163801568,129.52364172418422
153.02302388617318,164.06796697919017
154.07941801377456,162.71312493633522
152.8581781189423,154.94044189637012
190.99806918154357,159.70805813212115
154.3072180089075,156.56520052610256
155.0955272067804,116.00906005135646
153.4531369843753,150.92004758765856
172.14154836017406,162.9138052488832
167.70008908148162,157.85849784186357
164.01149256207282,149.7699167963244
179.89354672082118,154.08093588158889
164.7501077788911,155.49236396650883
157.51547739989473,152.57426232010346
154.0803068094683,153.58353435520868
169.01476790136076,159.14247261035504
154.78223522336341,152.33912589852676
176.98108104916173,154.9265180141791
165.64269976001378,155.8252804615494
155.2195736936701,161.93546000937303
169.96764625869037,150.2932524978621
163.70993576850742,150.23034738469826
170.09413951801253,151.0184196265712
163.21592581862933,152.02285377980115
169.0922982551856,154.22643057130077
155.41070279074484,155.4950123989572
156.61560056355665,150.03907928007456
151.13041904725833,154.98001269892777
158.33338201843435,152.0807859883955
165.04045557265636,152.8021079417636
155.94819895128606,149.40448373382839
155.53793099797622,149.65195604858314
170.26442320429487,153.8440761277876
189.43762238499042,160.8257832621335
171.46595836408233,155.75800628872705
169.62123549473472,159.60932956262735
167.6985752049114,148.44818143880667
154.16622583082062,164.44687874213116
155.94385838784362,151.0212838847705
148.86010403161345,148.00004316974835
162.01871080347337,160.9092514130486
169.8277407150017,156.69403162920736
160.64166259308695,153.42856899105922
160.14015378654585,148.18492385079722
151.15308457083302,150.8661340236967
159.3901186826697,148.2238648116996
156.28430721961192,142.51952423438942
166.01608491002116,151.7491094216039
165.3780231140554,154.5163104811753
169.13103691180012,147.89866611281994
163.61675427289447,158.12665910306777
169.24620455823242,149.86012348936364
141.2232260890014,120.48156528645093
174.03106516575644,152.4224567519143
162.54517034985474,146.33369003950784
144.62263811792945,117.166449051899
189.8625644335407,153.45301570813993
147.67846730491146,118.2131053471647
158.8301763378549,157.21340510042657
155.318624162348,151.8345664184739
190.83655653288588,171.0964547313559
180.8801956500829,169.89385757842186
174.19921711200732,155.71067199060946
138.71886100068514,120.68600682282148
185.8421909781537,164.1849554362547
159.19736659215414,151.80148186621727
180.4337422234239,175.72059318848216
170.59533001527606,151.33305387131702
141.83406389984887,117.88769585663094
157.58005167733063,148.80875530440616
156.76676694804337,150.3895096188903
179.66897713392973,160.777158512553
168.49745816562427,152.15826077994788
167.83884505489561,152.4796305455612
171.168585700907,151.23073131459753
189.15160079365887,161.91718818462488
173.53576497816542,147.66294706712094
148.22563538776012,114.72729860730934
154.7272824169777,161.12475442789673
154.96510770612076,142.4375884155465
166.0143034105422,152.39751016965937
177.88912102611357,151.51829629074538
138.6257516600308,120.56267731649926
144.50383937250444,113.24740759301159
155.10891919414277,149.87070009360494
137.42392269839183,115.91536934113536
134.9182218174974,120.12539863941194
163.1131342682929,156.1223984611
189.67866224131285,162.9402416309878
137.65479212809078,114.2675066340496
161.46836928317862,165.09797192345667
189.2947298489598,158.88477459850014
135.93635163322324,114.1726472592275
171.8682077695266,156.15685488207765
128.24165683658794,115.52068913914474
137.98378488462185,115.78817069767618
157.47047947386454,156.48650141488235
159.88716484964243,153.14686829989054
166.16756481740958,152.05902847150463
159.88183710060548,152.1120886753656
156.34167386788977,153.7909581508033
159.53116230710285,147.54133492285402
170.31379134723102,157.83649453449445
172.12289081094787,153.33732169317003
186.24535488293625,155.20678176591113
161.10698962127208,156.06120192094588
189.54125214564556,154.72107281741992
145.119412270491,121.28465102642826
170.27093086874808,150.70768933821336
137.3851599344489,116.46200179831447
155.41951216581947,159.57653916818333
162.18511223903624,155.14349729421326
176.5072328671231,149.26146628417496
148.98460209746554,115.97410661854036
171.1970496311551,150.03880659988172
153.3783913266343,162.6783888864059
164.19714885030407,158.404346575715
159.82040804621647,154.98680126393467
165.60129131333088,149.07001867242036
138.4348156199885,156.74238322876354
154.84598365011698,148.95777098820957
156.32137866736957,150.50877345707028
159.14317746949382,156.27147793574167
143.96858141852863,115.73160632188383
139.68287719971704,119.66676786472937
141.52257586456835,118.50366814564562
153.16430572417445,151.1634459829813
159.36395394282957,157.05263755407512
176.32387783177543,158.49661740288906
166.87215232184113,164.53481995222648
164.79482236040351,154.04205447642352
149.0060107823374,113.39164484310488
162.95506936320453,147.3485944834568
